date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:19	293726/293726	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:09%20GMT	https://igenius.ai/technology/	F:/Downloads/igenius/igenius.ai/technology/index.html	(from https://igenius.ai/)
23:14:19	19290/19290	---M--	200	added ('OK')	image/png	etag:%221240013c209a157a75d5346fec1222f6%22	https://igenius.ai/static/method-creativity.1240013c.png	F:/Downloads/igenius/igenius.ai/static/method-creativity.1240013c.png	(from https://igenius.ai/)
23:14:20	294264/294264	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/ideas/	F:/Downloads/igenius/igenius.ai/ideas/index.html	(from https://igenius.ai/)
23:14:20	1320/1320	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/home/icons-home-design.svg	F:/Downloads/igenius/igenius.ai/home/icons-home-design.svg	(from https://igenius.ai/)
23:14:20	1266/1266	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/home/icons-home-people.svg	F:/Downloads/igenius/igenius.ai/home/icons-home-people.svg	(from https://igenius.ai/)
23:14:20	301927/301927	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/design/	F:/Downloads/igenius/igenius.ai/design/index.html	(from https://igenius.ai/)
23:14:20	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2009%20Mar%202020%2017:44:22%20GMT	https://igenius.ai/legal	F:/Downloads/igenius/igenius.ai/legal	(from https://igenius.ai/)
23:14:21	326117/326117	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/legal/	F:/Downloads/igenius/igenius.ai/legal/index.html	(from https://igenius.ai/)
23:14:21	1356/1356	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/component---src-pages-404-js-5cf478dafbcc1b7df822.js	F:/Downloads/igenius/igenius.ai/component---src-pages-404-js-5cf478dafbcc1b7df822.js	(from https://igenius.ai/igenius.ai)
23:14:21	45229/45229	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	https://www.google-analytics.com/analytics.js	F:/Downloads/igenius/www.google-analytics.com/analytics.js	(from https://igenius.ai/)
23:14:21	144/144	---M--	200	added ('OK')	application/javascript	etag:%221f6fa5eec0b48e0834eacd61001459f7%22	https://igenius.ai/path---404-html-a0e39f21c11f6a62c5ab.js	F:/Downloads/igenius/igenius.ai/path---404-html-a0e39f21c11f6a62c5ab.js	(from https://igenius.ai/igenius.ai)
23:14:22	17385/17385	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/component---src-pages-about-us-index-js-328a6863d31cfb663fcb.js	F:/Downloads/igenius/igenius.ai/component---src-pages-about-us-index-js-328a6863d31cfb663fcb.js	(from https://igenius.ai/about-us/)
23:14:22	142/142	---M--	200	added ('OK')	application/javascript	etag:%22c68d6efe6a6a45b7f1187943c4d33b56%22	https://igenius.ai/path---about-us-a0e39f21c11f6a62c5ab.js	F:/Downloads/igenius/igenius.ai/path---about-us-a0e39f21c11f6a62c5ab.js	(from https://igenius.ai/about-us/)
